Date,Open,High,Low,Close,Adj Close,Volume
2024-03-07,133.89,135.82,132.66,135.24,134.76,24107300
2024-03-06,134.24,134.74,131.95,132.56,132.09,23175200
2024-03-05,132.74,134.02,131.55,133.78,133.30,28447600
2024-03-04,136.54,136.63,132.86,134.20,133.72,43571500
2024-03-01,139.61,140.00,137.98,138.08,137.59,28522000
2024-02-29,138.35,139.95,137.57,139.78,139.28,35485000
2024-02-28,139.10,139.28,136.64,137.43,136.94,30628700
2024-02-27,139.41,140.49,138.50,140.10,139.60,22364000
2024-02-26,143.45,143.84,138.74,138.75,138.25,33513000
2024-02-23,144.97,145.96,144.79,145.29,144.77,14519400
2024-02-22,146.12,146.20,144.01,145.32,144.80,23024700
2024-02-21,142.64,143.98,141.91,143.84,143.33,16499600
2024-02-20,140.94,143.33,140.80,142.20,141.69,18625600
2024-02-16,144.21,144.48,141.52,141.76,141.25,21849700
2024-02-15,144.46,144.76,141.88,143.94,143.42,26724300
2024-02-14,147.37,147.83,145.55,147.14,146.61,16651800
2024-02-13,146.07,148.04,145.11,146.37,145.85,18138500
2024-02-12,149.54,150.59,148.56,148.73,148.20,17236100
2024-02-09,147.95,150.70,147.43,150.22,149.68,21877700
2024-02-08,146.97,147.61,146.42,147.22,146.69,18241300
2024-02-07,146.12,147.00,145.21,146.68,146.15,21436100
2024-02-06,145.96,146.74,144.52,145.41,144.89,21517700
2024-02-05,144.04,146.67,143.91,144.93,144.41,29254400
2024-02-02,140.89,143.88,138.17,143.54,143.03,42116900
2024-02-01,143.69,144.62,142.26,142.71,142.20,25526900
2024-01-31,145.39,145.59,141.55,141.80,141.29,43908600
2024-01-30,154.01,155.04,152.77,153.05,152.50,26578900
2024-01-29,153.64,155.20,152.92,154.84,154.29,20909300
2024-01-26,152.87,154.11,152.80,153.79,153.24,19494500
2024-01-25,151.74,154.76,151.22,153.64,153.09,21495100
2024-01-24,150.29,151.57,149.84,150.35,149.81,19245000
2024-01-23,147.72,148.86,147.19,148.68,148.15,14113600
2024-01-22,148.71,150.01,147.58,147.71,147.18,21829200
2024-01-19,146.30,148.04,145.80,147.97,147.44,27170900
2024-01-18,143.44,145.59,143.35,144.99,144.47,18876800
2024-01-17,142.91,143.41,140.51,142.89,142.38,17884500
2024-01-16,143.43,145.84,143.06,144.08,143.56,19198900
2024-01-12,144.34,144.74,143.36,144.24,143.72,13995200
2024-01-11,144.90,146.66,142.21,143.67,143.16,17471100
2024-01-10,142.52,144.52,142.46,143.80,143.29,16641900
